"","word","zone","item"
"285","and",285,1
"286","suggested",286,1
"287","a",287,1
"288","contest",288,1
"289","could",289,1
"290","solve",290,1
"291","the",291,1
"292","problem.",292,1
"293","He",293,1
"294","said",294,1
"295","that",295,1
"296","whoever",296,1
"297","could",297,1
"298","kill",298,1
"299","the",299,1
"300","boar",300,1
"301","and",301,1
"302","bring",302,1
"303","as",303,1
"304","proof",304,1
"305","its",305,1
"306","head",306,1
"307","to",307,1
"308","the",308,1
"309","Manor",309,1
"310","House",310,1
"311","would",311,1
"312","be",312,1
"313","rewarded",313,1
"314","with",314,1
"315","land",315,1
"316","and",316,1
"317","fame.",317,1
"318","It",318,1
"319","was",319,1
"320","the",320,1
"321","people",321,1
"322","of",322,1
"323","Bradford",323,1
"324","and",324,1
"325","the",325,1
"326","people",326,1
"327","who",327,1
"328","knew",328,1
"329","them",329,1
"330","who",330,1
"331","rejoiced",331,1
"332","at",332,1
"333","this",333,1
"334","proclamation",334,1
"335","but",335,1
"336","one",336,1
"337","question",337,1
"338","remained:",338,1
"339","who",339,1
"340","would",340,1
"341","kill",341,1
"342","the",342,1
"343","boar?",343,1
"344","By",344,1
"345","the",345,1
"346","handsome",346,1
"347","reward",347,1
"348","many",348,1
"349","felt",349,1
"350","tempted,",350,1
"351","but",351,1
"352","the",352,1
"353","thought",353,1
"354","of",354,1
"355","the",355,1
"356","boar",356,1
"357","with",357,1
"358","its",358,1
"359","deadly",359,1
"360","tusks",360,1
"361","and",361,1
"362","face",362,1
"363","like",363,1
"364","thunder",364,1
"365","soon",365,1
"366","put",366,1
"367","an",367,1
"368","end",368,1
"369","to",369,1
"370","their",370,1
"371","ambitions.",371,1
"372","However,",372,1
"373","there",373,1
"374","was",374,1
"375","one",375,1
"376","huntsman,",376,1
"377","who",377,1
"378","was",378,1
"379","still",379,1
"380","wet",380,1
"381","behind",381,1
"382","the",382,1
"383","ears,",383,1
"384","who",384,1
"385","decided",385,1
"386","the",386,1
"387","prize",387,1
"388","was",388,1
"389","worth",389,1
"390","a",390,1
"391","shot,",391,1
"392","in",392,1
"393","spite",393,1
"394","of",394,1
"395","the",395,1
"396","boar's",396,1
"397","reputation.",397,1
"398","The",398,1
"399","huntsman",399,1
"400","discovered",400,1
"401","the",401,1
"402","boar",402,1
"403","preferred",403,1
"404","to",404,1
"405","come",405,1
"406","out",406,1
"407","in",407,1
"408","the",408,1
"409","middle",409,1
"410","of",410,1
"411","the",411,1
"412","day.",412,1
"413","So",413,1
"414","he",414,1
"415","went",415,1
"416","to",416,1
"417","the",417,1
"418","wood",418,1
"419","by",419,1
"420","the",420,1
"421","well",421,1
"422","with",422,1
"423","his",423,1
"424","good",424,1
"425","bow,",425,1
"426","to",426,1
"427","bide",427,1
"428","his",428,1
"429","time.",429,1
"430","Around",430,1
"431","noontime,",431,1
"432","the",432,1
"433","boar,",433,1
"434","feared",434,1
"435","by",435,1
"436","the",436,1
"437","locals,",437,1
"438","came",438,1
"439","out,",439,1
"440","as",440,1
"441","slow",441,1
"442","as",442,1
"443","a",443,1
"444","snail,",444,1
"445","from",445,1
"446","among",446,1
"447","the",447,1
"448","trees,",448,1
"449","just",449,1
"450","as",450,1
"451","the",451,1
"452","huntsman",452,1
"453","had",453,1
"454","predicted.",454,1
"455","The",455,1
"456","huntsman",456,1
"457","leaped",457,1
"458","from",458,1
"459","his",459,1
"460","hiding",460,1
"461","place",461,1
"462","and",462,1
"463","through",463,1
"464","the",464,1
"465","heart",465,1
"466","with",466,1
"467","his",467,1
"468","fine",468,1
"469","arrows",469,1
"470","shot",470,1
"471","the",471,1
"472","boar.",472,1
"473","Now",473,1
"474","the",474,1
"475","problem",475,1
"476","was",476,1
"477","no",477,1
"478","longer",478,1
"479","to",479,1
"480","kill",480,1
"481","the",481,1
"482","boar.",482,1
"483","It",483,1
"484","was",484,1
"485","to",485,1
"486","find",486,1
"487","a",487,1
"488","way",488,1
"489","to",489,1
"490","carry",490,1
"491","the",491,1
"492","boar",492,1
"493","back.",493,1
"494","The",494,1
"495","head",495,1
"496","was",496,1
"497","too",497,1
"498","heavy",498,1
"499","for",499,1
"500","the",500,1
"501","little",501,1
"502","huntsman",502,1
"503","to",503,1
"504","carry",504,1
"505","back",505,1
"506","to",506,1
"507","the",507,1
"508","Manor",508,1
"509","House,",509,1
"510","but",510,1
"511","the",511,1
"512","huntsman,",512,1
"513","who",513,1
"514","was",514,1
"515","as",515,1
"516","quick-witted",516,1
"517","and",517,1
"518","cunning",518,1
"519","as",519,1
"520","ever,",520,1
"521","asked",521,1
"522","himself,",522,1
"523","'What",523,1
"524","else",524,1
"525","can",525,1
"526","I",526,1
"527","do",527,1
"528","to",528,1
"529","prove",529,1
"530","I",530,1
"531","killed",531,1
"532","the",532,1
"533","boar?'",533,1
"534","The",534,1
"535","next",535,1
"536","instance",536,1
"537","he",537,1
"538","opened",538,1
"539","the",539,1
"540","boar's",540,1
"541","mouth",541,1
"542","and",542,1
"543","cut",543,1
"544","out",544,1
"545","its",545,1
"546","tongue,",546,1
"547","taking",547,1
"548","that",548,1
"549","as",549,1
"550","proof",550,1
"551","for",551,1
"552","the",552,1
"553","Lord.",553,1
"554","He",554,1
"555","set",555,1
"556","out",556,1
"557","for",557,1
"558","the",558,1
"559","Manor",559,1
"560","House",560,1
"561","as",561,1
"562","quickly",562,1
"563","as",563,1
"564","he",564,1
"565","could",565,1
"566","and",566,1
"567","he",567,1
"568","had",568,1
"569","only",569,1
"570","been",570,1
"571","gone",571,1
"572","a",572,1
"573","few",573,1
"574","minutes",574,1
"575","when",575,1
"576","a",576,1
"577","second",577,1
"578","huntsman,",578,1
"579","not",579,1
"580","so",580,1
"581","bold",581,1
"582","as",582,1
"583","the",583,1
"584","first",584,1
"585","but",585,1
"586","a",586,1
"587","little",587,1
"588","more",588,1
"589","cunning,",589,1
"590","came",590,1
"591","on",591,1
"592","the",592,1
"593","scene.",593,1
"594","Seeing",594,1
"595","the",595,1
"596","slain",596,1
"597","carcass",597,1
"598","of",598,1
"599","the",599,1
"600","boar,",600,1
"601","the",601,1
"602","huntsman",602,1
"603","rejoiced",603,1
"604","in",604,1
"605","his",605,1
"606","good",606,1
"607","fortune.",607,1
"608","The",608,1
"609","second",609,1
"610","huntsman",610,1
"611","knew",611,1
"612","a",612,1
"613","shortcut",613,1
"614","to",614,1
"615","the",615,1
"616","Manor",616,1
"617","House",617,1
"618","was",618,1
"619","just",619,1
"620","around",620,1
"621","the",621,1
"622","nearby",622,1
"623","pond,",623,1
"624","and,",624,1
"625","being",625,1
"626","a",626,1
"627","bigger",627,1
"628","man",628,1
"629","than",629,1
"630","the",630,1
"631","first,",631,1
"632","was",632,1
"633","able",633,1
"634","to",634,1
"635","pick",635,1
"636","up",636,1
"637","the",637,1
"638","boar's",638,1
"639","head",639,1
"640","and",640,1
"641","carry",641,1
"642","it",642,1
"643","through",643,1
"644","the",644,1
"645","wood",645,1
"646","towards",646,1
"647","the",647,1
"648","prize",648,1
"649","that",649,1
"650","awaited",650,1
"651","him.",651,1
"652","The",652,1
"653","Lord",653,1
"654","of",654,1
"655","the",655,1
"656","Manor",656,1
"657","was",657,1
"658","seated",658,1
"659","in",659,1
"660","his",660,1
"661","hall",661,1
"662","when",662,1
"663","the",663,1
"664","second",664,1
"665","huntsman",665,1
"666","burst",666,1
"667","through",667,1
"668","the",668,1
"669","door",669,1
"670","and",670,1
"671","began",671,1
"672","to",672,1
"673","spin",673,1
"674","a",674,1
"675","line.",675,1
"676","'The",676,1
"677","woes",677,1
"678","of",678,1
"679","Bradford",679,1
"680","are",680,1
"681","ended!'",681,1
"682","he",682,1
"683","announced.",683,1
"684","'With",684,1
"685","my",685,1
"686","own",686,1
"687","hand",687,1
"688","I",688,1
"689","have",689,1
"690","slain",690,1
"691","the",691,1
"692","boar!'",692,1
"693","And,",693,1
"694","with",694,1
"695","that,",695,1
"696","at",696,1
"697","the",697,1
"698","feet",698,1
"699","of",699,1
"700","his",700,1
"701","lord",701,1
"702","he",702,1
"703","dropped",703,1
"704","the",704,1
"705","boar's",705,1
"706","enormous",706,1
"707","head.",707,1
"708","'Then",708,1
"709","you",709,1
"710","will",710,1
"711","be",711,1
"712","rewarded,",712,1
"713","as",713,1
"714","I",714,1
"715","promised.'",715,1
"716","'But",716,1
"717","first,",717,1
"718","let",718,1
"719","me",719,1
"720","examine",720,1
"721","the",721,1
"722","head",722,1
"723","of",723,1
"724","this",724,1
"725","monster,'",725,1
"726","said",726,1
"727","the",727,1
"728","Lord",728,1
"729","of",729,1
"730","the",730,1
"731","Manor.",731,1
"732","To",732,1
"733","not",733,1
"734","examine",734,1
"735","the",735,1
"736","head",736,1
"737","in",737,1
"738","advance",738,1
"739","had",739,1
"740","not",740,1
"741","been",741,1
"742","very",742,1
"743","clever",743,1
"744","on",744,1
"745","the",745,1
"746","part",746,1
"747","of",747,1
"748","the",748,1
"749","huntsman.",749,1
"750","Right",750,1
"751","away,",751,1
"752","the",752,1
"753","Lord",753,1
"754","noticed",754,1
"755","the",755,1
"756","tongue",756,1
"757","of",757,1
"758","the",758,1
"759","boar",759,1
"760","was",760,1
"761","missing",761,1
"762","and",762,1
"763","exclaimed,",763,1
"764","'What",764,1
"765","is",765,1
"766","this?",766,1
"767","A",767,1
"768","boar",768,1
"769","with",769,1
"770","no",770,1
"771","tongue?'",771,1
"772","He",772,1
"773","looked",773,1
"774","at",774,1
"775","the",775,1
"776","huntsman,",776,1
"777","dubiously.",777,1
"778","'How",778,1
"779","come",779,1
"780","this",780,1
"781","creature",781,1
"782","has",782,1
"783","no",783,1
"784","tongue?'",784,1
"785","he",785,1
"786","demanded.",786,1
"787","All",787,1
"788","eyes",788,1
"789","were",789,1
"790","on",790,1
"791","the",791,1
"792","huntsman.",792,1
"793","The",793,1
"794","huntsman",794,1
"795","questioned",795,1
"796","by",796,1
"797","the",797,1
"798","Lord",798,1
"799","replied,",799,1
"800","'I",800,1
"801","cannot",801,1
"802","say,",802,1
"803","my",803,1
"804","Lord.'",804,1
"805","He",805,1
"806","was",806,1
"807","suddenly",807,1
"808","realizing",808,1
"809","his",809,1
"810","tricky",810,1
"811","situation",811,1
"812","could",812,1
"813","end",813,1
"814","badly",814,1
"815","for",815,1
"816","him.",816,1
"817","Through",817,1
"818","the",818,1
"819","door",819,1
"820","at",820,1
"821","this",821,1
"822","moment,",822,1
"823","the",823,1
"824","first",824,1
"825","huntsman",825,1
"826","burst.",826,1
"827","'The",827,1
"828","woes",828,1
"829","of",829,1
"830","Bradford",830,1
"831","are",831,1
"832","ended!'",832,1
"833","he",833,1
"834","cried.",834,1
"835","'I",835,1
"836","have",836,1
"837","slain",837,1
"838","the",838,1
"839","boar",839,1
"840","the",840,1
"841","people",841,1
"842","of",842,1
"843","Bradford",843,1
"844","dreaded!'",844,1
"845","All",845,1
"846","eyes",846,1
"847","turned",847,1
"848","to",848,1
"849","the",849,1
"850","man",850,1
"851","who",851,1
"852","now",852,1
"853","stood",853,1
"854","in",854,1
"855","the",855,1
"856","doorway.",856,1
"857","'The",857,1
"858","reward",858,1
"859","is",859,1
"860","already",860,1
"861","given,'",861,1
"862","said",862,1
"863","the",863,1
"864","Lord",864,1
"865","of",865,1
"866","the",866,1
"867","Manor.",867,1
"868","'The",868,1
"869","man",869,1
"870","here",870,1
"871","has",871,1
"872","brought",872,1
"873","to",873,1
"874","me",874,1
"875","the",875,1
"876","boar's",876,1
"877","head.'",877,1
"878","'Then",878,1
"879","where",879,1
"880","is",880,1
"881","its",881,1
"882","tongue?'",882,1
"883","the",883,1
"884","first",884,1
"885","huntsman",885,1
"886","replied.",886,1
"887","And,",887,1
"888","so",888,1
"889","saying,",889,1
"890","he",890,1
"891","drew",891,1
"892","out",892,1
"893","the",893,1
"894","boar's",894,1
"895","tongue",895,1
"896","he",896,1
"897","had",897,1
"898","put",898,1
"899","in",899,1
"900","his",900,1
"901","hunting",901,1
"902","pouch",902,1
"903","and",903,1
"904","related",904,1
"905","how",905,1
"906","he",906,1
"907","had",907,1
"908","ambushed",908,1
"909","the",909,1
"910","creature",910,1
"911","in",911,1
"912","the",912,1
"913","wood",913,1
"914","and",914,1
"915","cut",915,1
"916","out",916,1
"917","its",917,1
"918","tongue",918,1
"919","as",919,1
"920","proof",920,1
"921","of",921,1
"922","his",922,1
"923","victory.",923,1
"924","Listening",924,1
"925","to",925,1
"926","the",926,1
"927","tale,",927,1
"928","the",928,1
"929","Lord",929,1
"930","of",930,1
"931","the",931,1
"932","Manor",932,1
"933","tried",933,1
"934","to",934,1
"935","discern",935,1
"936","which",936,1
"937","huntsman",937,1
"938","was",938,1
"939","telling",939,1
"940","him",940,1
"941","the",941,1
"942","truth",942,1
"943","and",943,1
"944","what",944,1
"945","the",945,1
"946","two",946,1
"947","huntsmen",947,1
"948","were",948,1
"949","thinking",949,1
"950","as",950,1
"951","they",951,1
"952","waited",952,1
"953","for",953,1
"954","him",954,1
"955","to",955,1
"956","make",956,1
"957","a",957,1
"958","decision.",958,1
"959","Almost",959,1
"960","instantly,",960,1
"961","the",961,1
"962","Lord",962,1
"963","saw",963,1
"964","that",964,1
"965","the",965,1
"966","second",966,1
"967","huntsman",967,1
"968","had",968,1
"969","fed",969,1
"970","him",970,1
"971","a",971,1
"972","pack",972,1
"973","of",973,1
"974","lies",974,1
"975","and",975,1
"976","it",976,1
"977","was",977,1
"978","the",978,1
"979","first",979,1
"980","huntsman",980,1
"981","who",981,1
"982","was",982,1
"983","the",983,1
"984","true",984,1
"985","savior",985,1
"986","of",986,1
"987","Bradford.",987,1
"988","The",988,1
"989","Lord",989,1
"990","believed",990,1
"991","the",991,1
"992","second",992,1
"993","huntsman",993,1
"994","had",994,1
"995","tried",995,1
"996","to",996,1
"997","steal",997,1
"998","the",998,1
"999","first",999,1
"1000","huntsman's",1000,1
"1001","prize",1001,1
"1002","and",1002,1
"1003","so",1003,1
"1004","proclaimed",1004,1
"1005","the",1005,1
"1006","first",1006,1
"1007","huntsman",1007,1
"1008","the",1008,1
"1009","true",1009,1
"1010","victor.",1010,1
"1011","The",1011,1
"1012","Lord",1012,1
"1013","wondered",1013,1
"1014","for",1014,1
"1015","a",1015,1
"1016","moment",1016,1
"1017","why",1017,1
"1018","he",1018,1
"1019","always",1019,1
"1020","encountered",1020,1
"1021","so",1021,1
"1022","much",1022,1
"1023","chicanery",1023,1
"1024","in",1024,1
"1025","his",1025,1
"1026","everyday",1026,1
"1027","interactions.",1027,1
"1028","The",1028,1
"1029","huntsman",1029,1
"1030","who",1030,1
"1031","had",1031,1
"1032","earned",1032,1
"1033","his",1033,1
"1034","prize",1034,1
"1035","fair",1035,1
"1036","and",1036,1
"1037","square",1037,1
"1038","received",1038,1
"1039","as",1039,1
"1040","his",1040,1
"1041","reward",1041,1
"1042","a",1042,1
"1043","piece",1043,1
"1044","of",1044,1
"1045","land",1045,1
"1046","just",1046,1
"1047","outside",1047,1
"1048","the",1048,1
"1049","town,",1049,1
"1050","known",1050,1
"1051","thereafter",1051,1
"1052","as",1052,1
"1053","Hunt",1053,1
"1054","Yard.",1054,1
"1055","His",1055,1
"1056","fame",1056,1
"1057","was",1057,1
"1058","indeed",1058,1
"1059","assured,",1059,1
"1060","but",1060,1
"1061","it",1061,1
"1062","was",1062,1
"1063","not",1063,1
"1064","nearly",1064,1
"1065","as",1065,1
"1066","lasting",1066,1
"1067","as",1067,1
"1068","that",1068,1
"1069","of",1069,1
"1070","the",1070,1
"1071","fearsome",1071,1
"1072","Bradford",1072,1
"1073","Boar.",1073,1
"1074","A",1,2
"1075","clear",2,2
"1076","and",3,2
"1077","joyous",4,2
"1078","day",5,2
"1079","it",6,2
"1080","was",7,2
"1081","and",8,2
"1082","out",9,2
"1083","on",10,2
"1084","the",11,2
"1085","wide",12,2
"1086","open",13,2
"1087","sea,",14,2
"1088","thousands",15,2
"1089","upon",16,2
"1090","thousands",17,2
"1091","of",18,2
"1092","sparkling",19,2
"1093","water",20,2
"1094","drops,",21,2
"1095","excited",22,2
"1096","by",23,2
"1097","getting",24,2
"1098","to",25,2
"1099","play",26,2
"1100","in",27,2
"1101","the",28,2
"1102","ocean,",29,2
"1103","danced",30,2
"1104","all",31,2
"1105","around.",32,2
"1106","One",33,2
"1107","of",34,2
"1108","these",35,2
"1109","was",36,2
"1110","a",37,2
"1111","merry",38,2
"1112","little",39,2
"1113","fellow",40,2
"1114","named",41,2
"1115","Aqua,",42,2
"1116","who",43,2
"1117","danced",44,2
"1118","on",45,2
"1119","the",46,2
"1120","silver",47,2
"1121","backs",48,2
"1122","of",49,2
"1123","the",50,2
"1124","fishes",51,2
"1125","as",52,2
"1126","they",53,2
"1127","plunged",54,2
"1128","up",55,2
"1129","and",56,2
"1130","down",57,2
"1131","in",58,2
"1132","the",59,2
"1133","waves,",60,2
"1134","and,",61,2
"1135","no",62,2
"1136","matter",63,2
"1137","how",64,2
"1138","high",65,2
"1139","he",66,2
"1140","sprung,",67,2
"1141","he",68,2
"1142","always",69,2
"1143","came",70,2
"1144","down",71,2
"1145","again",72,2
"1146","into",73,2
"1147","his",74,2
"1148","mother's",75,2
"1149","lap.",76,2
"1150","His",77,2
"1151","mother,",78,2
"1152","you",79,2
"1153","know,",80,2
"1154","was",81,2
"1155","the",82,2
"1156","ocean,",83,2
"1157","and",84,2
"1158","very",85,2
"1159","beautiful",86,2
"1160","she",87,2
"1161","looked",88,2
"1162","that",89,2
"1163","summer",90,2
"1164","day",91,2
"1165","in",92,2
"1166","her",93,2
"1167","dark",94,2
"1168","blue",95,2
"1169","dress",96,2
"1170","and",97,2
"1171","white",98,2
"1172","ruffles.",99,2
"1173","By",100,2
"1174","and",101,2
"1175","by,",102,2
"1176","the",103,2
"1177","happy",104,2
"1178","water",105,2
"1179","drop",106,2
"1180","tired",107,2
"1181","of",108,2
"1182","his",109,2
"1183","play,",110,2
"1184","and",111,2
"1185","looking",112,2
"1186","up",113,2
"1187","to",114,2
"1188","the",115,2
"1189","clear",116,2
"1190","sky",117,2
"1191","above",118,2
"1192","him,",119,2
"1193","thought",120,2
"1194","he",121,2
"1195","would",122,2
"1196","like",123,2
"1197","to",124,2
"1198","have",125,2
"1199","a",126,2
"1200","sail",127,2
"1201","on",128,2
"1202","one",129,2
"1203","of",130,2
"1204","the",131,2
"1205","white,",132,2
"1206","marshmallow-like",133,2
"1207","clouds,",134,2
"1208","instead",135,2
"1209","of",136,2
"1210","spending",137,2
"1211","his",138,2
"1212","whole",139,2
"1213","life",140,2
"1214","in",141,2
"1215","the",142,2
"1216","ocean.",143,2
"1217","Of",144,2
"1218","the",145,2
"1219","sky,",146,2
"1220","little",147,2
"1221","Aqua",148,2
"1222","had",149,2
"1223","always",150,2
"1224","been",151,2
"1225","afraid,",152,2
"1226","but",153,2
"1227","he",154,2
"1228","decided",155,2
"1229","to",156,2
"1230","finally",157,2
"1231","face",158,2
"1232","his",159,2
"1233","demons",160,2
"1234","and",161,2
"1235","suggested",162,2
"1236","a",163,2
"1237","solution",164,2
"1238","involving",165,2
"1239","the",166,2
"1240","sun",167,2
"1241","carrying",168,2
"1242","him",169,2
"1243","up",170,2
"1244","to",171,2
"1245","the",172,2
"1246","sky",173,2
"1247","would",174,2
"1248","be",175,2
"1249","ideal.",176,2
"1250","The",177,2
"1251","sun",178,2
"1252","understood",179,2
"1253","Aqua's",180,2
"1254","request",181,2
"1255","came",182,2
"1256","from",183,2
"1257","his",184,2
"1258","heart,",185,2
"1259","so",186,2
"1260","he",187,2
"1261","acquiesced",188,2
"1262","and",189,2
"1263","also",190,2
"1264","took",191,2
"1265","ever",192,2
"1266","so",193,2
"1267","many",194,2
"1268","other",195,2
"1269","drops,",196,2
"1270","so",197,2
"1271","that",198,2
"1272","Aqua",199,2
"1273","might",200,2
"1274","not",201,2
"1275","be",202,2
"1276","lonesome",203,2
"1277","on",204,2
"1278","the",205,2
"1279","way.",206,2
"1280","It",207,2
"1281","was",208,2
"1282","only",209,2
"1283","the",210,2
"1284","sun",211,2
"1285","that",212,2
"1286","knew",213,2
"1287","this,",214,2
"1288","however,",215,2
"1289","for",216,2
"1290","all",217,2
"1291","the",218,2
"1292","other",219,2
"1293","drops",220,2
"1294","had",221,2
"1295","been",222,2
"1296","changed",223,2
"1297","into",224,2
"1298","fine",225,2
"1299","mist",226,2
"1300","or",227,2
"1301","vapor",228,2
"1302","and",229,2
"1303","Aqua",230,2
"1304","could",231,2
"1305","not",232,2
"1306","see",233,2
"1307","them.",234,2
"1308","Do",235,2
"1309","you",236,2
"1310","know",237,2
"1311","what",238,2
"1312","vapor",239,2
"1313","is?",240,2
"1314","If",241,2
"1315","you",242,2
"1316","breathe",243,2
"1317","into",244,2
"1318","the",245,2
"1319","air,",246,2
"1320","when",247,2
"1321","it",248,2
"1322","is",249,2
"1323","cold",250,2
"1324","enough,",251,2
"1325","you",252,2
"1326","will",253,2
"1327","see",254,2
"1328","it",255,2
"1329","coming",256,2
"1330","out",257,2
"1331","of",258,2
"1332","your",259,2
"1333","mouth",260,2
"1334","thick",261,2
"1335","and",262,2
"1336","fast",263,2
"1337","like",264,2
"1338","steam.",265,2
"1339","When",266,2
"1340","the",267,2
"1341","vapor",268,2
"1342","is",269,2
"1343","quite",270,2
"1344","near",271,2
"1345","the",272,2
"1346","earth,",273,2
"1347","we",274,2
"1348","call",275,2
"1349","it",276,2
"1350","'fog'.",277,2
"1351","Into",278,2
"1352","vapor",279,2
"1353","the",280,2
"1354","water",281,2
"1355","drops",282,2
"1356","that",283,2
"1357","danced",284,2
"1358","in",285,2
"1359","the",286,2
"1360","ocean",287,2
"1361","had",288,2
"1362","been",289,2
"1363","changed,",290,2
"1364","because",291,2
"1365","in",292,2
"1366","their",293,2
"1367","own",294,2
"1368","shape",295,2
"1369","they",296,2
"1370","were",297,2
"1371","too",298,2
"1372","heavy",299,2
"1373","for",300,2
"1374","the",301,2
"1375","sunbeams",302,2
"1376","that",303,2
"1377","the",304,2
"1378","sun",305,2
"1379","let",306,2
"1380","out",307,2
"1381","to",308,2
"1382","carry.",309,2
"1383","Higher",310,2
"1384","and",311,2
"1385","higher",312,2
"1386","they",313,2
"1387","sailed,",314,2
"1388","and",315,2
"1389","though",316,2
"1390","it",317,2
"1391","was",318,2
"1392","grand,",319,2
"1393","Aqua",320,2
